"District","Ward","Village","Vaccination.Date","Dogs.Vaccinated","Cats.Vaccinated"
"Serengeti","Nyansurura","Nyansurura",2010-07-12,155,3
"Serengeti","Geitasamo","Kegonga",2010-07-13,88,0
"Serengeti","Geitasamo","Matare",2010-07-13,206,8
"Serengeti","Nyansurura","Merenga",2010-07-15,284,2
"Serengeti","Machochwe","Machochwe",2010-07-16,226,9
"Serengeti","Machochwe","Nyamakendo",2010-07-16,203,4
"Serengeti","Mbalibali","Kitunguruma",2010-07-19,187,3
"Serengeti","Mbalibali","Mbalibali",2010-07-19,276,3
"Serengeti","Sedeco","Bisarara",2010-07-20,148,3
"Serengeti","Mbalibali","Koreri",2010-07-20,231,4
"Serengeti","Kisangura","Kibeyo",2010-07-23,187,11
"Serengeti","Kisangura","Kisangura",2010-07-23,168,6
"Serengeti","Sedeco","Bonchugu",2010-07-26,319,2
"Serengeti","Kisangura","Kebosongo",2010-07-26,197,5
"Serengeti","Manchira","Misseke",2010-07-27,127,3
"Serengeti","Manchira","Rwamchanga",2010-07-27,255,0
"Serengeti","Mugumu","Mugumu",2010-07-28,984,44
"Serengeti","Sedeco","Nyamburi",2010-07-28,441,16
"Serengeti","Majimoto","Iseresere",2010-10-09,216,0
"Serengeti","Majimoto","Nyamakobiti",2010-10-11,189,0
"Serengeti","Kisaka","Nyiboko",2010-12-07,40,0
"Serengeti","Kisaka","Borenga",2010-12-10,145,0
"Serengeti","Kisaka","Buchanchari",2010-12-10,266,0
"Serengeti","Busawe","Busawe",2010-12-10,96,0
"Serengeti","Busawe","Gantamome",2010-12-10,340,0
"Serengeti","Majimoto","Majimoto",2010-12-10,96,0
"Serengeti","Kenyamonta","Mesaga",2010-12-10,198,0
"Serengeti","Majimoto","Nyamakobiti",2010-12-10,680,0
"Serengeti","Ring'wani","Nyamitita",2010-12-10,30,2
"Serengeti","Kisaka","Nyansurumunti",2010-12-10,25,0
"Serengeti","Kisaka","Nyiboko",2010-12-10,75,0
"Serengeti","Busawe","Gantamome",2010-12-16,141,0
"Serengeti","Kisaka","Nyansurumunti",2010-12-23,24,0
"Serengeti","Kisaka","Borenga",2011-01-03,135,0
"Serengeti","Kisaka","Buchanchari",2011-01-05,180,0
"Serengeti","Busawe","Busawe",2011-01-06,12,0
"Serengeti","Rung'abure","Rung'abure",2011-05-11,7,0
"Serengeti","Nyamoko","Itununu",2011-05-22,19,1
"Serengeti","Manchira","Rwamchanga",2011-06-09,16,0
"Serengeti","Issenye","Iharara",2011-06-12,227,5
