"cellID","Region","District","Ward","WardID","Village","VillageID"
3346,"Mara","Serengeti","Ikoma",3,"Robanda",81
3347,"Mara","Serengeti","Ikoma",3,"Robanda",81
3348,"Mara","Serengeti","Ikoma",3,"Robanda",81
3349,"Mara","Serengeti","Ikoma",3,"Robanda",81
3350,"Mara","Serengeti","Ikoma",3,"Robanda",81
3351,"Mara","Serengeti","Ikoma",3,"Robanda",81
3352,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3353,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3354,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3355,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3356,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3357,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3358,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3359,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3360,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3361,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3362,"Mara","Serengeti","Issenye",4,"Nyiberekera",73
3363,"Mara","Serengeti","Issenye",4,"Nyiberekera",73
3364,"Mara","Serengeti","Issenye",4,"Nyiberekera",73
3365,"Mara","Serengeti","Issenye",4,"Nyiberekera",73
3366,"Mara","Serengeti","Issenye",4,"Iharara",13
3367,"Mara","Serengeti","Issenye",4,"Iharara",13
3368,"Mara","Serengeti","Issenye",4,"Iharara",13
3369,"Mara","Serengeti","Issenye",4,"Iharara",13
3370,"Mara","Serengeti","Issenye",4,"Iharara",13
3371,"Mara","Serengeti","Issenye",4,"Iharara",13
3372,"Mara","Serengeti","Issenye",4,"Iharara",13
3373,"Mara","Serengeti","Issenye",4,"Iharara",13
3374,"Mara","Serengeti","Issenye",4,"Singisi",84
3375,"Mara","Serengeti","Issenye",4,"Iharara",13
3376,"Mara","Serengeti","Issenye",4,"Singisi",84
3377,"Mara","Serengeti","Natta",18,"Motukeri",53
3378,"Mara","Serengeti","Natta",18,"Motukeri",53
3379,"Mara","Serengeti","Natta",18,"Motukeri",53
3380,"Mara","Serengeti","Natta",18,"Mbisso",46
3381,"Mara","Serengeti","Natta",18,"Mbisso",46
3382,"Mara","Serengeti","Natta",18,"Mbisso",46
3383,"Mara","Serengeti","Natta",18,"Makundusi",38
3384,"Mara","Serengeti","Natta",18,"Makundusi",38
3385,"Mara","Serengeti","Natta",18,"Makundusi",38
3386,"Mara","Serengeti","Natta",18,"Makundusi",38
3387,"Mara","Serengeti","Natta",18,"Makundusi",38
3388,"Mara","Serengeti","Natta",18,"Makundusi",38
3389,"Mara","Serengeti","Natta",18,"Makundusi",38
3390,"Mara","Serengeti","Natta",18,"Makundusi",38
3391,"Mara","Serengeti","Natta",18,"Makundusi",38
3392,"Mara","Serengeti","Natta",18,"Makundusi",38
3393,"Mara","Serengeti","Natta",18,"Makundusi",38
3394,"Mara","Serengeti","Natta",18,"Makundusi",38
3395,"Mara","Serengeti","Natta",18,"Makundusi",38
3396,"Mara","Serengeti","Natta",18,"Makundusi",38
3397,"Mara","Serengeti","Natta",18,"Makundusi",38
3398,"Mara","Serengeti","Natta",18,"Makundusi",38
3399,"Mara","Serengeti","Natta",18,"Makundusi",38
3400,"Mara","Serengeti","Natta",18,"Makundusi",38
3401,"Mara","Serengeti","Natta",18,"Makundusi",38
3402,"Mara","Serengeti","Natta",18,"Makundusi",38
3403,"Mara","Serengeti","Natta",18,"Makundusi",38
3404,"Mara","Serengeti","Natta",18,"Makundusi",38
3405,"Mara","Serengeti","Natta",18,"Makundusi",38
3406,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3407,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3408,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3409,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3410,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3411,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3412,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3413,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3414,"Mara","Serengeti","Ikoma",3,"Robanda",81
